probe,tap,scope,n_frames,routes,auc_plus_vs_minus,lo,hi,mean_score_plus,mean_score_minus
hazard,L18_last,pooled,3744,37,0.635188095825115,0.5814909224590384,0.6899660347334506,0.12396132522543749,0.0500020068394167
hazard,L18_last,DynamicObjectCrossing,179,5,0.6240129833650635,0.5971516588442122,0.7267249527410207,0.18378258551773435,0.019513669908768627
hazard,L18_last,HighwayCutIn,690,5,0.8368536021844151,0.8106055981197156,0.907159322989953,0.16489150325876942,0.013409665711161865
hazard,L18_last,OppositeVehicleRunningRedLight,31,2,0.5036420395421436,0.4864,0.8333333333333333,0.05650426093287082,0.007648064231459777
hazard,L18_last,ParkingCrossingPedestrian,199,5,0.536072321406025,0.5141155635090501,0.6278698979591837,0.14571966808152545,0.08292864176501236
hazard,L18_last,ParkingCutIn,546,5,0.5626031477679829,0.5101325878525115,0.6032136826782482,0.10085390095028433,0.03974492662434516
hazard,L18_last,PedestrianCrossing,725,5,0.7741184304399525,0.7173126203044367,0.9304180839002267,0.1194432477760855,0.01146364082711451
hazard,L18_last,StaticCutIn,478,5,0.5278225171127956,0.5161758405771064,0.5433223509405888,0.2509697467618657,0.2390075808860533
hazard,L18_last,VehicleTurningRoutePedestrian,896,5,0.5008544921875,0.47655497491729903,0.5671221214530462,0.027972111653996632,0.015027359877129649
hazard,L18_mean,pooled,3744,37,0.6354062868110344,0.5735604103007444,0.7011784206194721,0.18610675285434103,0.0688604698655222
hazard,L18_mean,DynamicObjectCrossing,179,5,0.6706407415498892,0.6147197350033642,0.7513922922699933,0.18503441826693467,0.03472442292761685
hazard,L18_mean,HighwayCutIn,690,5,0.7980802352446965,0.709726443768997,0.9181776599737286,0.45983874154413384,0.12084395027439551
hazard,L18_mean,OppositeVehicleRunningRedLight,31,2,0.6951092611862644,0.6951092611862644,1.0,0.03526755034744706,0.0006853688059157819
hazard,L18_mean,ParkingCrossingPedestrian,199,5,0.5502133784500391,0.5173178793438629,0.701530612244898,0.28229792397434184,0.19213217661081902
hazard,L18_mean,ParkingCutIn,546,5,0.5673160783050893,0.5476565822934949,0.603308779132955,0.11340366561015243,0.07752854531111888
hazard,L18_mean,PedestrianCrossing,725,5,0.878525564803805,0.8015783983192973,0.9541541583667666,0.15235643591755432,0.00500512843787227
hazard,L18_mean,StaticCutIn,478,5,0.5026829012097127,0.48445618764613463,0.5271750605945713,0.1718613756109403,0.1521988800747776
hazard,L18_mean,VehicleTurningRoutePedestrian,896,5,0.5348896882971939,0.49183856838293755,0.6157698354069038,0.038590015864235126,0.012555450526261629
hazard,op-cinque temporal,pooled,3744,37,0.5395931924127035,0.5166122773915142,0.5786627921013247,0.22036995832256454,0.12268710415726725
hazard,op-cinque temporal,DynamicObjectCrossing,179,5,0.5014512655659935,0.48584075247723957,0.5365779002142639,0.2545866010547579,0.24583444396081663
hazard,op-cinque temporal,HighwayCutIn,690,5,0.7668241965973535,0.6855863804202202,0.814746861609638,0.6525936223518729,0.29360214544266844
hazard,op-cinque temporal,OppositeVehicleRunningRedLight,31,2,0.5400624349635795,0.3333333333333333,0.5840000000000001,0.06140180300693307,0.0654771206627464
hazard,op-cinque temporal,ParkingCrossingPedestrian,199,5,0.5108456857150072,0.49471553327213236,0.5704719387755102,0.22603061256930287,0.2173582192596306
hazard,op-cinque temporal,ParkingCutIn,546,5,0.5550188517221485,0.5363419497612815,0.5696468069248541,0.273404309626161,0.1553255123822724
hazard,op-cinque temporal,PedestrianCrossing,725,5,0.527836385255648,0.47444930353093623,0.6782736065472131,0.032153318934955426,0.035332192625332264
hazard,op-cinque temporal,StaticCutIn,478,5,0.5549578963953712,0.5395137421713618,0.5809553719008265,0.20229502450312375,0.09218280273138775
hazard,op-cinque temporal,VehicleTurningRoutePedestrian,896,5,0.5016641422193878,0.49537747258544984,0.5083886224192911,0.01454692428276966,0.014486212776204889
hazard,op-lebowski temporal,pooled,3744,37,0.5433953228299182,0.5228487418031608,0.5748099835616965,0.1926516191585624,0.09885225437195468
hazard,op-lebowski temporal,DynamicObjectCrossing,179,5,0.517680471895384,0.5070880195263034,0.5491675469040793,0.1922012865226084,0.18125885690818946
hazard,op-lebowski temporal,HighwayCutIn,690,5,0.760562906952321,0.6963348182844082,0.8121267521797999,0.58701403551285,0.24783156790426059
hazard,op-lebowski temporal,OppositeVehicleRunningRedLight,31,2,0.6170655567117587,0.6170655567117587,0.8333333333333334,0.1048125391469277,0.0767904344275819
hazard,op-lebowski temporal,ParkingCrossingPedestrian,199,5,0.5175626878109139,0.4991072475856586,0.572520727040816,0.11359969450143315,0.0977884524545363
hazard,op-lebowski temporal,ParkingCutIn,546,5,0.5695132096230997,0.5437178816299695,0.5949084442321029,0.23561754500453003,0.118001043374902
hazard,op-lebowski temporal,PedestrianCrossing,725,5,0.5231219976218786,0.4397777454953539,0.5793380082938544,0.019311832216719158,0.013494936777977065
hazard,op-lebowski temporal,StaticCutIn,478,5,0.5611552668895853,0.5340272255447698,0.6142165492957745,0.20609628559402596,0.1165387679521654
hazard,op-lebowski temporal,VehicleTurningRoutePedestrian,896,5,0.5059814453125,0.4979413761883205,0.5142003159487362,0.01654702787429144,0.016624316623348134
light,L18_last,pooled,204,4,0.5001682045367166,0.1388888888888889,0.5009494018695915,0.8504912907572397,0.8454648556626304
light,L18_last,Light,204,4,0.5001682045367166,0.1388888888888889,0.5009494018695915,0.8504912907572397,0.8454648556626304
light,L18_mean,pooled,204,4,0.5031237985390234,0.22222222222222224,0.503820645905421,0.7229326214720084,0.7212455739624121
light,L18_mean,Light,204,4,0.5031237985390234,0.22222222222222224,0.503820645905421,0.7229326214720084,0.7212455739624121
light,op-cinque temporal,pooled,204,4,0.5016820453671664,0.501300887664524,0.8541666666666667,0.8558612628967596,0.8544084826898338
light,op-cinque temporal,Light,204,4,0.5016820453671664,0.501300887664524,0.8541666666666667,0.8558612628967596,0.8544084826898338
light,op-lebowski temporal,pooled,204,4,0.5004445405613226,0.5,0.7777777777777778,0.8473563387265398,0.8469214350607396
light,op-lebowski temporal,Light,204,4,0.5004445405613226,0.5,0.7777777777777778,0.8473563387265398,0.8469214350607396
