t,kind,fold,arm,model,group,n,slope_fit,slope_prior
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,pedestrian,314,0.4635,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s0,cinque,cut-in,547,0.3827,0.1826
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,pedestrian,314,0.4214,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s1,cinque,cut-in,547,0.3821,0.1826
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,pedestrian,314,0.656,0.01397
1.79e+09,q9b_insample,0,Q9b pair grid s2,cinque,cut-in,547,0.5368,0.1826
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,pedestrian,314,0.0826,0.01397
1.79e+09,q9b_insample,0,Q9b hard grid,cinque,cut-in,547,0.1993,0.1826
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,pedestrian,314,0.09175,0.01397
1.79e+09,q9b_insample,0,Q9b pair pooled-linear,cinque,cut-in,547,0.2347,0.1826
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,pedestrian,353,0.6491,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s0,cinque,cut-in,474,0.5069,0.2019
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,pedestrian,353,0.5386,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s1,cinque,cut-in,474,0.3378,0.2019
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,pedestrian,353,0.3939,0.02547
1.79e+09,q9b_insample,1,Q9b pair grid s2,cinque,cut-in,474,0.2002,0.2019
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,pedestrian,353,0.05642,0.02547
1.79e+09,q9b_insample,1,Q9b hard grid,cinque,cut-in,474,0.2347,0.2019
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,pedestrian,353,0.04176,0.02547
1.79e+09,q9b_insample,1,Q9b pair pooled-linear,cinque,cut-in,474,0.2164,0.2019
1.79e+09,q9b_insample,2,Q9b pair grid s0,cinque,pedestrian,300,0.1568,0.02512
1.79e+09,q9b_insample,2,Q9b pair grid s0,cinque,cut-in,570,0.2026,0.1758
1.79e+09,q9b_insample,2,Q9b pair grid s1,cinque,pedestrian,300,0.6274,0.02512
1.79e+09,q9b_insample,2,Q9b pair grid s1,cinque,cut-in,570,0.5247,0.1758
1.79e+09,q9b_insample,2,Q9b pair grid s2,cinque,pedestrian,300,0.5637,0.02512
