route,variant,preset,segment,kind,band,subset,count,low_speed_count,saturated_fraction,limited_fraction,cte_m_n,cte_m_rms,cte_m_p95_abs,cte_m_max_abs,heading_deg_n,heading_deg_rms,heading_deg_p95_abs,heading_deg_max_abs,steer_rate_per_s_n,steer_rate_per_s_rms,steer_rate_per_s_p95_abs,steer_rate_per_s_max_abs,steer_n,steer_rms,steer_p95_abs,steer_max_abs,sensor_speed_mps_n,sensor_speed_mps_rms,sensor_speed_mps_p95_abs,sensor_speed_mps_max_abs,raw_steer_n,raw_steer_rms,raw_steer_p95_abs,raw_steer_max_abs,raw_steer_rate_per_s_n,raw_steer_rate_per_s_rms,raw_steer_rate_per_s_p95_abs,raw_steer_rate_per_s_max_abs,actual_speed_mps_n,actual_speed_mps_rms,actual_speed_mps_p95_abs,actual_speed_mps_max_abs,reference_speed_mps_n,reference_speed_mps_rms,reference_speed_mps_p95_abs,reference_speed_mps_max_abs,speed_error_mps_n,speed_error_mps_rms,speed_error_mps_p95_abs,speed_error_mps_max_abs,lateral_accel_mps2_n,lateral_accel_mps2_rms,lateral_accel_mps2_p95_abs,lateral_accel_mps2_max_abs,longitudinal_accel_mps2_n,longitudinal_accel_mps2_rms,longitudinal_accel_mps2_p95_abs,longitudinal_accel_mps2_max_abs,lateral_jerk_mps3_n,lateral_jerk_mps3_rms,lateral_jerk_mps3_p95_abs,lateral_jerk_mps3_max_abs,longitudinal_jerk_mps3_n,longitudinal_jerk_mps3_rms,longitudinal_jerk_mps3_p95_abs,longitudinal_jerk_mps3_max_abs,actual_speed_mean_mps,reference_speed_mean_mps,slew_clipped_count,slew_clipped_known_count,slew_clipped_fraction,amplitude_clipped_count,amplitude_clipped_known_count,amplitude_clipped_fraction,rejoin_concern_count,coverage_complete,cte_left_positive_mean_m,heading_right_positive_mean_deg,peak_cte_left_positive_m,peak_cte_frame,peak_cte_station_m,first_frame,last_frame
26966,baseline-max,pursuit,1,right-sharp,window,all,70,0,0.0,0.0,70,0.5586937052558099,0.8492240582260485,0.8564581437705158,70,2.6005991549372345,4.271546829218098,4.436893821607382,70,0.3763785457434299,0.80010558695692,1.1686163888732874,70,0.22512219512289688,0.3880318513515171,0.39999055932085165,70,7.865162367112928,7.992580186899792,8.004325970837897,70,0.22512219512289688,0.3880318513515171,0.39999055932085165,70,0.3763785457434299,0.80010558695692,1.1686163888732874,70,7.885715678458817,7.994009005328469,8.00615685029484,70,8.0,8.0,8.0,70,0.14987791495845978,0.2595542035297055,0.27326909861233695,70,4.870924996025248,8.598158694119283,9.164198689686005,70,0.4366293255107699,0.7584335032755133,0.8461463565663963,70,19.079470973663966,33.81120271213004,40.564977329507634,70,12.170245094505912,16.89743459340181,21.20613529185022,7.885128023256182,8.0,0,70,0.0,0,70,0.0,0,True,0.413087092205601,0.9986008937070898,0.8564581437705158,1460,41.690508201594334,1414,1483
26966,baseline-max,pursuit,1,right-sharp,window,moving_ge_2mps,70,0,0.0,0.0,70,0.5586937052558099,0.8492240582260485,0.8564581437705158,70,2.6005991549372345,4.271546829218098,4.436893821607382,70,0.3763785457434299,0.80010558695692,1.1686163888732874,70,0.22512219512289688,0.3880318513515171,0.39999055932085165,70,7.865162367112928,7.992580186899792,8.004325970837897,70,0.22512219512289688,0.3880318513515171,0.39999055932085165,70,0.3763785457434299,0.80010558695692,1.1686163888732874,70,7.885715678458817,7.994009005328469,8.00615685029484,70,8.0,8.0,8.0,70,0.14987791495845978,0.2595542035297055,0.27326909861233695,70,4.870924996025248,8.598158694119283,9.164198689686005,70,0.4366293255107699,0.7584335032755133,0.8461463565663963,70,19.079470973663966,33.81120271213004,40.564977329507634,70,12.170245094505912,16.89743459340181,21.20613529185022,7.885128023256182,8.0,0,70,0.0,0,70,0.0,0,True,0.413087092205601,0.9986008937070898,0.8564581437705158,1460,41.690508201594334,1414,1483
26966,baseline-max,pursuit,1,right-sharp,entry,all,13,0,0.0,0.0,13,0.06007461428117538,0.06604884625630111,0.06680356543485128,13,0.18975364927429147,0.3161827507216518,0.37954038218391306,13,0.1132594442556146,0.24858655603363505,0.32999463107559845,13,0.008211866486636533,0.012598607830637062,0.01277758543450629,13,7.6992720794202185,7.743359587896815,7.752849510822797,13,0.008211866486636533,0.012598607830637062,0.01277758543450629,13,0.1132594442556146,0.24858655603363505,0.32999463107559845,13,7.699300242638989,7.743397932387655,7.75291812883821,13,8.0,8.0,8.0,13,0.3021489278104141,0.33853974318685953,0.3450084374559905,13,0.2690819145385057,0.4610391506065229,0.6203928826217124,13,0.35946347799831435,0.4798344467404065,0.482740226387294,13,5.10971564880102,10.162340564564843,14.367523926636176,13,12.802997703170705,13.073174969783294,13.09250514361843,7.699245640732737,8.0,0,13,0.0,0,13,0.0,0,True,-0.05988209449865749,0.17186681974246124,-0.06680356543485128,1413,23.827689595990286,1401,1413
26966,baseline-max,pursuit,1,right-sharp,entry,moving_ge_2mps,13,0,0.0,0.0,13,0.06007461428117538,0.06604884625630111,0.06680356543485128,13,0.18975364927429147,0.3161827507216518,0.37954038218391306,13,0.1132594442556146,0.24858655603363505,0.32999463107559845,13,0.008211866486636533,0.012598607830637062,0.01277758543450629,13,7.6992720794202185,7.743359587896815,7.752849510822797,13,0.008211866486636533,0.012598607830637062,0.01277758543450629,13,0.1132594442556146,0.24858655603363505,0.32999463107559845,13,7.699300242638989,7.743397932387655,7.75291812883821,13,8.0,8.0,8.0,13,0.3021489278104141,0.33853974318685953,0.3450084374559905,13,0.2690819145385057,0.4610391506065229,0.6203928826217124,13,0.35946347799831435,0.4798344467404065,0.482740226387294,13,5.10971564880102,10.162340564564843,14.367523926636176,13,12.802997703170705,13.073174969783294,13.09250514361843,7.699245640732737,8.0,0,13,0.0,0,13,0.0,0,True,-0.05988209449865749,0.17186681974246124,-0.06680356543485128,1413,23.827689595990286,1401,1413
26966,baseline-max,pursuit,1,right-sharp,core,all,45,0,0.0,0.0,45,0.6089106137415474,0.8512217013355744,0.8564581437705158,45,2.5124776679985334,4.327016326706244,4.436893821607382,45,0.4249032758781656,0.9283221422311803,1.1686163888732874,45,0.27977511021630663,0.38968724877207744,0.39999055932085165,45,7.856278449643758,7.9827785905892155,8.004325970837897,45,0.27977511021630663,0.38968724877207744,0.39999055932085165,45,0.4249032758781656,0.9283221422311803,1.1686163888732874,45,7.888136975823106,7.988996745323841,8.00615685029484,45,8.0,8.0,8.0,45,0.14718071336676847,0.2647469859119745,0.27326909861233695,45,6.051298463434523,8.823755448567372,9.164198689686005,45,0.48706658276803766,0.7680041308983374,0.8461463565663963,45,22.891041586694204,35.40138527636472,40.564977329507634,45,11.848696780153709,17.790782712789746,21.20613529185022,7.887565174185033,8.0,0,45,0.0,0,45,0.0,0,True,0.4878077397298075,0.5888758056021248,0.8564581437705158,1460,41.690508201594334,1427,1471
26966,baseline-max,pursuit,1,right-sharp,core,moving_ge_2mps,45,0,0.0,0.0,45,0.6089106137415474,0.8512217013355744,0.8564581437705158,45,2.5124776679985334,4.327016326706244,4.436893821607382,45,0.4249032758781656,0.9283221422311803,1.1686163888732874,45,0.27977511021630663,0.38968724877207744,0.39999055932085165,45,7.856278449643758,7.9827785905892155,8.004325970837897,45,0.27977511021630663,0.38968724877207744,0.39999055932085165,45,0.4249032758781656,0.9283221422311803,1.1686163888732874,45,7.888136975823106,7.988996745323841,8.00615685029484,45,8.0,8.0,8.0,45,0.14718071336676847,0.2647469859119745,0.27326909861233695,45,6.051298463434523,8.823755448567372,9.164198689686005,45,0.48706658276803766,0.7680041308983374,0.8461463565663963,45,22.891041586694204,35.40138527636472,40.564977329507634,45,11.848696780153709,17.790782712789746,21.20613529185022,7.887565174185033,8.0,0,45,0.0,0,45,0.0,0,True,0.4878077397298075,0.5888758056021248,0.8564581437705158,1460,41.690508201594334,1427,1471
26966,baseline-max,pursuit,1,right-sharp,exit,all,12,0,0.0,0.0,12,0.6529257327061225,0.7687913136488084,0.77823892888369,12,3.9567679165097864,4.138412393597735,4.146801001118531,12,0.13333940942353772,0.26525376104746,0.29435829151541376,12,0.019594812555438317,0.026773099004340883,0.02833555292013018,12,7.9812723426499,7.999852430964217,8.003341317188887,12,0.019594812555438317,0.026773099004340883,0.02833555292013018,12,0.13333940942353772,0.26525376104746,0.29435829151541376,12,7.981538665936484,8.00027564290115,8.004038652594655,12,8.0,8.0,8.0,12,0.022066253541561366,0.03673309582787403,0.03792446516269887,12,0.4899070867974312,0.747625218470224,0.7662628260550735,12,0.32132285236571445,0.3915159759015501,0.39763855721861013,12,4.512465789882973,9.186432261160387,12.3776820860993,12,12.73607667764648,13.44984330459669,13.803513973452745,7.981529534768362,8.0,0,12,0.0,0,12,0.0,0,True,0.6466674073896232,3.95049219009484,0.77823892888369,1472,46.23470929812207,1472,1483
26966,baseline-max,pursuit,1,right-sharp,exit,moving_ge_2mps,12,0,0.0,0.0,12,0.6529257327061225,0.7687913136488084,0.77823892888369,12,3.9567679165097864,4.138412393597735,4.146801001118531,12,0.13333940942353772,0.26525376104746,0.29435829151541376,12,0.019594812555438317,0.026773099004340883,0.02833555292013018,12,7.9812723426499,7.999852430964217,8.003341317188887,12,0.019594812555438317,0.026773099004340883,0.02833555292013018,12,0.13333940942353772,0.26525376104746,0.29435829151541376,12,7.981538665936484,8.00027564290115,8.004038652594655,12,8.0,8.0,8.0,12,0.022066253541561366,0.03673309582787403,0.03792446516269887,12,0.4899070867974312,0.747625218470224,0.7662628260550735,12,0.32132285236571445,0.3915159759015501,0.39763855721861013,12,4.512465789882973,9.186432261160387,12.3776820860993,12,12.73607667764648,13.44984330459669,13.803513973452745,7.981529534768362,8.0,0,12,0.0,0,12,0.0,0,True,0.6466674073896232,3.95049219009484,0.77823892888369,1472,46.23470929812207,1472,1483
26966,baseline-max,pursuit,1,right-sharp,post10m,all,26,0,0.0,0.0,26,0.31704522217735676,0.4444566283510138,0.4738995894121933,26,1.5538224888580154,2.930095643615515,3.200907797431777,26,0.115103628882489,0.275341027837644,0.3967086276670046,26,0.01763728377818877,0.028843836774367547,0.029316137142782986,26,7.984605682364796,7.996456717571516,7.996826355614511,26,0.01763728377818877,0.028843836774367547,0.029316137142782986,26,0.115103628882489,0.275341027837644,0.3967086276670046,26,7.984745683510114,7.996515050182536,7.996871679839201,26,8.0,8.0,8.0,26,0.01817474875935911,0.032481478989511814,0.03664813510588516,26,0.4696543969902669,0.7582540812508074,0.7936417616931405,26,0.31525132681740115,0.3474173102459368,0.3497270643752875,26,5.41583323048702,12.424234699350592,17.409634915145915,26,12.587719394725584,12.750711343581761,12.756209689000855,7.984739581802559,8.0,0,26,0.0,0,26,0.0,0,True,0.3091435090445882,1.3373784411388554,0.4738995894121933,1484,51.01288593217827,1484,1509
26966,baseline-max,pursuit,1,right-sharp,post10m,moving_ge_2mps,26,0,0.0,0.0,26,0.31704522217735676,0.4444566283510138,0.4738995894121933,26,1.5538224888580154,2.930095643615515,3.200907797431777,26,0.115103628882489,0.275341027837644,0.3967086276670046,26,0.01763728377818877,0.028843836774367547,0.029316137142782986,26,7.984605682364796,7.996456717571516,7.996826355614511,26,0.01763728377818877,0.028843836774367547,0.029316137142782986,26,0.115103628882489,0.275341027837644,0.3967086276670046,26,7.984745683510114,7.996515050182536,7.996871679839201,26,8.0,8.0,8.0,26,0.01817474875935911,0.032481478989511814,0.03664813510588516,26,0.4696543969902669,0.7582540812508074,0.7936417616931405,26,0.31525132681740115,0.3474173102459368,0.3497270643752875,26,5.41583323048702,12.424234699350592,17.409634915145915,26,12.587719394725584,12.750711343581761,12.756209689000855,7.984739581802559,8.0,0,26,0.0,0,26,0.0,0,True,0.3091435090445882,1.3373784411388554,0.4738995894121933,1484,51.01288593217827,1484,1509
