probe,tap,fold,lam,n_train,pos_train,n_heldout,auc_heldout
hazard,L18_last,0,0.1,7570,95,2809,0.9127185927040631
hazard,L18_last,1,0.1,9114,143,1265,0.9227326968973748
hazard,L18_last,2,0.1,8393,126,1986,0.9263437021927587
hazard,L18_last,3,0.1,8018,139,2361,0.9736412657868597
hazard,L18_last,4,0.1,8421,101,1958,0.9316876310272536
hazard,L18_mean,0,0.1,7570,95,2809,0.8808313009184785
hazard,L18_mean,1,0.1,9114,143,1265,0.9601233094669848
hazard,L18_mean,2,0.01,8393,126,1986,0.8480775114737379
hazard,L18_mean,3,0.1,8018,139,2361,0.9939335887611749
hazard,L18_mean,4,0.1,8421,101,1958,0.9425471698113207
light,L18_last,0,0.1,3264,2803,1234,0.9914629488158899
light,L18_last,1,0.1,4031,3642,467,0.896551724137931
light,L18_last,2,0.01,3676,3237,822,0.8602092352092352
light,L18_last,3,0.1,3149,2860,1349,0.9174307802948579
light,L18_last,4,0.1,3872,3430,626,0.7120866108432716
light,L18_mean,0,0.1,3264,2803,1234,0.9415011459129106
light,L18_mean,1,0.1,4031,3642,467,0.8748894783377542
light,L18_mean,2,0.01,3676,3237,822,0.8023689273689274
light,L18_mean,3,0.01,3149,2860,1349,0.9343516066817037
light,L18_mean,4,0.1,3872,3430,626,0.8139925004933887
